,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
4600,1968-02-16,Boeing 727-92C,Taiwan,21,1,11.0,52.0,Civil Air Transport,1966-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Boeing,1968,February,Friday,776
4605,1968-02-29,Ilyushin Il-18D,Russia,83,0,9.0,75.0,"Aeroflot, Far East",1967-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Ilyushin,1968,February,Thursday,424
4606,1968-03-02,Lockheed C-130A Hercules,Vietnam,6,0,5.0,6.0,USAF,1958-01-01,Damaged beyond repair,Landing (LDG),Military,Lockheed,1968,March,Saturday,3713
4607,1968-03-05,Boeing 707-328C,Guadeloupe,63,0,11.0,52.0,Air France,1968-01-01,Destroyed,Approach (APR),International Scheduled Passenger,Boeing,1968,March,Tuesday,64
4609,1968-03-07,Tupolev Tu-124,Russia,1,0,5.0,44.0,"Aeroflot, North Kavkaz",1962-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Tupolev,1968,March,Thursday,2257
4610,1968-03-08,Fairchild F-27,Philippines,14,0,4.0,10.0,Air Manila Int.,1958-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Fairchild,1968,March,Friday,3719
4611,1968-03-09,Ilyushin Il-14,Armenia,5,0,5.0,0.0,"Aeroflot, Georgia",1957-01-01,Damaged beyond repair,En route (ENR),Cargo,Ilyushin,1968,March,Saturday,4085
4612,1968-03-09,Douglas DC-6B,Reunion,16,0,9.0,8.0,French AF,1953-01-01,Destroyed,En route (ENR),Military,Douglas,1968,March,Saturday,5546
4613,1968-03-13,Dassault Falcon 20C,United States of America,6,0,2.0,4.0,M Air,1966-01-01,Destroyed,Approach (APR),Executive,Dassault,1968,March,Wednesday,802
4614,1968-03-16,Douglas C-47A (DC-3),Peru,4,0,4.0,0.0,Sadia,1943-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1968,March,Saturday,9206
4615,1968-03-24,Vickers 803 Viscount,Ireland,61,0,4.0,57.0,Aer Lingus,1957-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Vickers,1968,March,Sunday,4100
4616,1968-03-26,Lockheed 18 Lodestar,New Zealand,1,0,1.0,0.0,Airland (NZ),1943-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Lockheed,1968,March,Tuesday,9216
4617,1968-03-30,Lockheed L-1049G Super Constellatio,Panama,3,0,3.0,0.0,RAPSA,1957-01-01,Damaged beyond repair,Initial climb (ICL),Cargo,Lockheed,1968,March,Saturday,4106
4618,1968-04-01,Lockheed P-3B Orion,Vietnam,12,0,12.0,0.0,US Navy,1967-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1968,April,Monday,456
4619,1968-04-05,Lockheed P-3A Orion,Pacific Ocean,8,0,12.0,0.0,US Navy,1963-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1968,April,Friday,1921
4620,1968-04-08,Boeing 707-465,United Kingdom,5,0,11.0,116.0,BOAC,1962-01-01,Damaged beyond repair,Initial climb (ICL),International Scheduled Passenger,Boeing,1968,April,Monday,2289
4621,1968-04-08,Douglas C-49K (DC-3),Chile,36,0,3.0,33.0,LADECO,1942-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Douglas,1968,April,Monday,9594
4622,1968-04-10,Douglas R4D-3 (DC-3),Mexico,18,0,4.0,14.0,Aerovias Rojas,1942-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1968,April,Wednesday,9596
4624,1968-04-13,Lockheed C-130B Hercules,Vietnam,1,0,7.0,1.0,USAF,1962-01-01,Damaged beyond repair,Landing (LDG),Military,Lockheed,1968,April,Saturday,2294
4626,1968-04-19,Avro Shackleton MR.2,United Kingdom,11,0,11.0,0.0,RAF,1952-01-01,Damaged beyond repair,En route (ENR),Military,Avro,1968,April,Friday,5953
4627,1968-04-20,Boeing 707-344C,Namibia,123,0,12.0,116.0,South African Airways,1968-01-01,Destroyed,Initial climb (ICL),International Scheduled Passenger,Boeing,1968,April,Saturday,110
4629,1968-04-26,Lockheed C-130B Hercules,Vietnam,8,0,8.0,0.0,USAF,1961-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Lockheed,1968,April,Friday,2672
4631,1968-05-03,Lockheed L-188A Electra,United States of America,85,0,5.0,80.0,Braniff Airways,1959-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Lockheed,1968,May,Friday,3410
4632,1968-05-04,Fairchild F-27F,United States of America,2,0,2.0,0.0,Eastex Inc,1967-01-01,Damaged beyond repair,Approach (APR),Executive,Fairchild,1968,May,Saturday,489
4633,1968-05-04,Douglas AC-47D,Vietnam,6,0,6.0,0.0,USAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1968,May,Saturday,8890
4634,1968-05-04,Douglas AC-47D,Vietnam,3,0,8.0,0.0,USAF,1945-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1968,May,Saturday,8524
4635,1968-05-07,A.W. AW-660 Argosy C.1,Libya,11,0,5.0,6.0,RAF,1963-01-01,Damaged beyond repair,Landing (LDG),Military,A.W.,1968,May,Tuesday,1953
4636,1968-05-11,DHC-3 Otter,India,2,0,2.0,0.0,Indian AF,1958-01-01,Destroyed,En route (ENR),Military,DHC-3,1968,May,Saturday,3783
4638,1968-05-12,Lockheed C-130B Hercules,Vietnam,155,0,6.0,149.0,USAF,1961-01-01,Destroyed,Initial climb (ICL),Military,Lockheed,1968,May,Sunday,2688
4639,1968-05-16,Antonov An-2M,Russia,1,0,1.0,0.0,"Aeroflot, Moscow SPiMVL",1966-01-01,Damaged beyond repair,En route (ENR),Agricultural,Antonov,1968,May,Thursday,866
4640,1968-05-19,Antonov An-2R,Russia,2,0,2.0,0.0,"Aeroflot, North Kavkaz",1964-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Antonov,1968,May,Sunday,1600
4641,1968-05-22,Lockheed C-130A Hercules,Laos,9,0,9.0,0.0,USAF,1957-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1968,May,Wednesday,4159
4644,1968-05-28,Antonov An-2R,Ukraine,2,0,2.0,0.0,"Aeroflot, Ukraine",1964-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Antonov,1968,May,Tuesday,1609
4645,1968-05-30,Antonov An-2M,Russia,1,0,1.0,1.0,"Aeroflot, North Kavkaz",1967-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Antonov,1968,May,Thursday,515
4647,1968-06-13,Boeing 707-321C,India,6,0,10.0,53.0,Pan Am,1964-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Boeing,1968,June,Thursday,1625
4649,1968-07-01,Lockheed L-1049G Super Constellatio,Nigeria,4,0,3.0,1.0,Red Cross,1956-01-01,Damaged beyond repair,Landing (LDG),Cargo,Lockheed,1968,July,Monday,4565
4651,1968-07-01,Antonov An-2M,Ukraine,2,0,1.0,2.0,"Aeroflot, Ukraine",1967-01-01,Damaged beyond repair,Takeoff (TOF),Agricultural,Antonov,1968,July,Monday,547
4652,1968-07-03,Airspeed AS.57 Ambassador 2,United Kingdom,6,0,3.0,5.0,BKS Air Transport,1951-01-01,Destroyed,Approach (APR),Cargo,Airspeed,1968,July,Wednesday,6393
4653,1968-07-08,Convair CV-340-68,Saudi Arabia,11,0,3.0,8.0,Saudi Arabian,1955-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Convair,1968,July,Monday,4937
4655,1968-07-13,Boeing 707-329C,Nigeria,7,0,5.0,2.0,Sabena,1966-01-01,Destroyed,Approach (APR),Cargo,Boeing,1968,July,Saturday,924
4656,1968-07-15,Curtiss C-46 Super C,Brazil,3,0,3.0,0.0,Varig,1945-01-01,Damaged beyond repair,En route (ENR),Cargo,Curtiss,1968,July,Monday,8596
4657,1968-07-18,Curtiss C-46D,Chile,5,0,5.0,0.0,ALFA,1945-01-01,Damaged beyond repair,Unknown (UNK),Cargo,Curtiss,1968,July,Thursday,8599
4658,1968-07-21,Antonov An-2R,Kyrgyzstan,14,0,2.0,12.0,"Aeroflot, Kyrgyzstan",1968-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Antonov,1968,July,Sunday,202
4660,1968-07-25,C-7B Caribou (DHC-4),Vietnam,2,0,4.0,0.0,USAF,1965-01-01,Damaged beyond repair,Maneuvering (MNV),Military,C-7B,1968,July,Thursday,1301
4662,1968-07-30,Boeing KC-135A,United States of America,9,0,9.0,0.0,USAF,1958-01-01,Destroyed,En route (ENR),Military,Boeing,1968,July,Tuesday,3863
4663,1968-08-02,Douglas DC-8-43,Italy,12,0,10.0,85.0,Alitalia,1962-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Douglas,1968,August,Friday,2405
4664,1968-08-03,Antonov An-2,Russia,14,0,2.0,12.0,"Aeroflot, North Kavkaz",1957-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Antonov,1968,August,Saturday,4232
4666,1968-08-09,Vickers 739A Viscount,Germany,48,0,4.0,44.0,British Eagle,1958-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Vickers,1968,August,Friday,3873
4668,1968-08-10,Fairchild FH-227B,United States of America,35,0,3.0,34.0,Piedmont Airlines,1967-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Fairchild,1968,August,Saturday,587
4669,1968-08-18,Antonov An-24V,Mediterranean Sea,40,0,7.0,33.0,UAA,1966-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Antonov,1968,August,Sunday,960
4670,1968-08-20,Hawker Siddeley HS-748,Venezuela,4,0,3.0,4.0,LAV,1965-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Hawker,1968,August,Tuesday,1327
4671,1968-08-23,Curtiss C-46F,Bolivia,4,0,3.0,1.0,TABSA,1945-01-01,Damaged beyond repair,Initial climb (ICL),Unknown,Curtiss,1968,August,Friday,8635
4672,1968-08-26,C-7B Caribou (DHC-4),Vietnam,3,0,3.0,0.0,USAF,1963-01-01,Damaged beyond repair,En route (ENR),Military,C-7B,1968,August,Monday,2064
4673,1968-08-31,DHC-3 Otter,Norway,5,0,1.0,5.0,"Ocean Products, op.for Westwing",1957-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,DHC-3,1968,August,Saturday,4260
4674,1968-09-03,Ilyushin Il-18E,Bulgaria,47,0,7.0,82.0,"Bulair, lsf TABSO",1966-01-01,Damaged beyond repair,Approach (APR),Int'l Non Scheduled Passenger,Ilyushin,1968,September,Tuesday,976
4675,1968-09-06,Lockheed C-130E Hercules,Vietnam,5,0,5.0,0.0,USAF,1962-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1968,September,Friday,2440
4676,1968-09-06,DHC-3 Otter,Canada,9,0,2.0,7.0,Northern Wings,1956-01-01,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,DHC-3,1968,September,Friday,4632
4677,1968-09-11,SE-210 Caravelle III,Mediterranean Sea,95,0,6.0,89.0,Air France,1968-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,SE-210,1968,September,Wednesday,254
4679,1968-09-15,Vickers 827 Viscount,Brazil,2,1,2.0,0.0,VASP,1958-01-01,Damaged beyond repair,Initial climb (ICL),Training,Vickers,1968,September,Sunday,3910
4682,1968-09-22,Antonov An-2TP,Russia,5,0,2.0,6.0,"Aeroflot, Yakutsk",1963-01-01,Damaged beyond repair,En route (ENR),Survey/research,Antonov,1968,September,Sunday,2091
4683,1968-09-24,Boeing KC-135A,Micronesia,11,0,4.0,52.0,USAF,1957-01-01,Destroyed,Approach (APR),Military,Boeing,1968,September,Tuesday,4284
4684,1968-09-28,Douglas C-54B (DC-4),Nigeria,57,1,2.0,55.0,Pan African Airlines,1944-01-01,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,Douglas,1968,September,Saturday,9037
4685,1968-10-01,Boeing KC-135A,Thailand,4,0,4.0,0.0,USAF,1957-01-01,Damaged beyond repair,Takeoff (TOF),Military,Boeing,1968,October,Tuesday,4291
4686,1968-10-03,C-7B Caribou (DHC-4),Vietnam,13,0,4.0,9.0,USAF,1964-01-01,Damaged beyond repair,Initial climb (ICL),Military,C-7B,1968,October,Thursday,1737
4687,1968-10-07,BN-2 Islander,Costa Rica,10,0,1.0,9.0,Aerovias del Valle,1968-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,BN-2,1968,October,Monday,280
4688,1968-10-11,Avia 14-32A,Czech Republic,11,0,3.0,37.0,CSA,1958-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Avia,1968,October,Friday,3936
4689,1968-10-17,PBV-1A Canso A (PBY-5A),Brazil,4,0,5.0,9.0,Cruzeiro do Sul,1944-01-01,Damaged beyond repair,Landing (LDG),Cargo,PBV-1A,1968,October,Thursday,9056
4690,1968-10-19,Lockheed C-130E Hercules,Turkey,7,0,7.0,0.0,Turkish AF,1965-01-01,Damaged beyond repair,Approach (APR),Military,Lockheed,1968,October,Saturday,1387
4692,1968-10-20,Douglas C-47D,Vietnam,23,0,12.0,11.0,USAF,1945-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1968,October,Sunday,8693
4693,1968-10-22,Boeing KC-135A,Taiwan,6,0,6.0,0.0,USAF,1962-01-01,Damaged beyond repair,En route (ENR),Military,Boeing,1968,October,Tuesday,2486
4694,1968-10-25,Douglas C-47A (DC-3),Suriname,3,0,3.0,2.0,KLM Aerocarto,1943-01-01,Damaged beyond repair,Maneuvering (MNV),Survey/research,Douglas,1968,October,Friday,9429
4695,1968-10-25,Fairchild FH-227C,United States of America,32,0,3.0,39.0,Northeast Airlines,1966-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Fairchild,1968,October,Friday,1028
4696,1968-11-02,Antonov An-12B,Russia,6,0,6.0,0.0,"Aeroflot, East Siberia",1963-01-01,Damaged beyond repair,Approach (APR),Cargo,Antonov,1968,November,Saturday,2132
4699,1968-11-23,DHC-6 Twin Otter 200,United States of America,9,0,2.0,7.0,Cable Commuter,1968-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,DHC-6,1968,November,Saturday,327
4700,1968-11-25,Curtiss C-46D,Laos,26,0,3.0,25.0,Air America,1945-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Non Scheduled Passenger,Curtiss,1968,November,Monday,8729
4701,1968-12-02,Fairchild F-27B,United States of America,39,0,3.0,36.0,Wien Consolidated,1959-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Fairchild,1968,December,Monday,3623
4703,1968-12-07,Douglas DC-7C,Nigeria,4,0,4.0,0.0,North American Aircraft Trading,1958-01-01,Damaged beyond repair,Approach (APR),Cargo,Douglas,1968,December,Saturday,3993
4704,1968-12-12,Boeing 707-321B,Venezuela,51,0,9.0,42.0,Pan Am,1968-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Boeing,1968,December,Thursday,346
4706,1968-12-13,DHC-3 Otter,Canada,1,0,2.0,0.0,Harbour Air,1954-01-01,Substantial,Initial climb (ICL),Cargo,DHC-3,1968,December,Friday,5460
4709,1968-12-20,Douglas C-47A (DC-3),Kenya,3,0,2.0,1.0,Kenya Police,1944-01-01,Destroyed,Initial climb (ICL),Cargo,Douglas,1968,December,Friday,9120
4710,1968-12-24,Convair CV-580,United States of America,20,0,6.0,41.0,Allegheny Airlines,1957-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Convair,1968,December,Tuesday,4375
4711,1968-12-24,Lockheed L-100 Hercules,United States of America,2,0,4.0,0.0,Interior Airways,1967-01-01,Damaged beyond repair,Approach (APR),Cargo,Lockheed,1968,December,Tuesday,723
4712,1968-12-26,Douglas C-47A (DC-3),Mexico,12,0,2.0,10.0,ESSA,1944-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Douglas,1968,December,Thursday,9126
4713,1968-12-26,Boeing 707-321C,United States of America,3,0,3.0,0.0,Pan Am,1964-01-01,Damaged beyond repair,Takeoff (TOF),Cargo,Boeing,1968,December,Thursday,1821
4714,1968-12-26,Boeing 707-358B,Greece,1,0,11.0,40.0,El Al,1965-01-01,Substantial,Taxi (TXI),International Scheduled Passenger,Boeing,1968,December,Thursday,1455
4715,1968-12-27,Convair CV-580,United States of America,27,1,4.0,41.0,North Central Airlines,1956-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Convair,1968,December,Friday,4744
4717,1968-12-31,Vickers 720C Viscount,Australia,26,0,4.0,22.0,"Ansett-ANA, op.for MacRobertson Miller Airlines",1954-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Vickers,1968,December,Tuesday,5478
4718,1968-12-31,Douglas C-47A (DC-3),Mexico,26,0,4.0,22.0,SAESA,1944-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Douglas,1968,December,Tuesday,9131
4719,1969-01-02,Douglas C-47A (DC-3),Taiwan,24,0,5.0,19.0,China Airlines,1944-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1969,January,Thursday,9133
4720,1969-01-05,Boeing 727-113C,United Kingdom,48,2,8.0,54.0,Ariana Afghan Airlines,1968-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Boeing,1969,January,Sunday,370
4721,1969-01-06,Convair CV-580,United States of America,11,0,3.0,25.0,Allegheny Airlines,1956-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Convair,1969,January,Monday,4754
4722,1969-01-10,Antonov An-2,Russia,2,0,2.0,11.0,"Aeroflot, Far East",1959-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Antonov,1969,January,Friday,3662
4723,1969-01-13,DC-8-62,United States of America,15,0,9.0,36.0,SAS,1967-01-01,Destroyed,Approach (APR),International Scheduled Passenger,DC-8-62,1969,January,Monday,743
4724,1969-01-16,Douglas C-47A (DC-3),Vietnam,12,0,3.0,9.0,Air America,1944-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1969,January,Thursday,9147
4725,1969-01-17,Douglas C-47A (DC-3),India,2,0,2.0,0.0,Hindu Publications,1943-01-01,Destroyed,Takeoff (TOF),Cargo,Douglas,1969,January,Friday,9513
4726,1969-01-18,Boeing 727-22C,United States of America,38,0,6.0,32.0,United Airlines,1968-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Boeing,1969,January,Saturday,383
4728,1969-02-04,Lockheed HC-130H Hercules,Pacific Ocean,13,0,14.0,0.0,USAF,1966-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1969,February,Tuesday,1130
4729,1969-02-05,Douglas EC-47Q,Laos,10,0,10.0,0.0,USAF,1945-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1969,February,Wednesday,8801
4731,1969-02-12,Douglas C-47B (DC-3),Germany,4,0,4.0,0.0,German AF,1945-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1969,February,Wednesday,8808
4733,1969-02-18,Douglas C-49J (DC-3),United States of America,35,0,3.0,32.0,Hawthorne Nevada,1943-01-01,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,Douglas,1969,February,Tuesday,9545
4734,1969-02-18,Boeing 720-058B,Switzerland,0,1,11.0,17.0,El Al,1962-01-01,Substantial,Taxi (TXI),International Scheduled Passenger,Boeing,1969,February,Tuesday,2605
4735,1969-02-24,Handley Page HPR-7 Herald 201,Taiwan,36,0,4.0,32.0,FEAT,1963-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Handley,1969,February,Monday,2246
4736,1969-03-03,Antonov An-2M,Russia,2,0,1.0,1.0,"Aeroflot, Moscow SPiMVL",1967-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Antonov,1969,March,Monday,792
4737,1969-03-05,DH-114 Heron 2D,Puerto Rico,19,0,2.0,17.0,Prinair,1967-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,DH-114,1969,March,Wednesday,794
4738,1969-03-06,Lockheed P-3B Orion,United States of America,6,0,6.0,0.0,US Navy,1966-01-01,Damaged beyond repair,Landing (LDG),Military,Lockheed,1969,March,Thursday,1160
4739,1969-03-08,Lockheed C-130E Hercules,Taiwan,12,0,12.0,0.0,USAF,1965-01-01,Damaged beyond repair,Approach (APR),Military,Lockheed,1969,March,Saturday,1527
4740,1969-03-09,Douglas DC-4,Atlantic Ocean,3,0,3.0,0.0,Continental Air Transport,1944-01-01,Missing,En route (ENR),Cargo,Douglas,1969,March,Sunday,9199
4741,1969-03-11,Douglas C-54A (DC-4),Colombia,1,0,5.0,33.0,SAM Colombia,1944-01-01,None,En route (ENR),Domestic Scheduled Passenger,Douglas,1969,March,Tuesday,9201
4743,1969-03-16,DC-9-32,Venezuela,84,71,10.0,74.0,"AVENSA, op.for VIASA",1969-01-01,Destroyed,Initial climb (ICL),International Scheduled Passenger,DC-9-32,1969,March,Sunday,74
4745,1969-03-19,Douglas C-47A (DC-3),Yemen,4,0,4.0,0.0,Yemen Airlines,1944-01-01,Damaged beyond repair,En route (ENR),Test,Douglas,1969,March,Wednesday,9209
4746,1969-03-20,Ilyushin Il-18D,Egypt,100,0,7.0,98.0,UAA,1969-01-01,Destroyed,Landing (LDG),Int'l Non Scheduled Passenger,Ilyushin,1969,March,Thursday,78
4747,1969-03-20,Vickers 815 Viscount,United Kingdom,3,0,4.0,0.0,BMA,1959-01-01,Destroyed,Takeoff (TOF),Ferry/positioning,Vickers,1969,March,Thursday,3731
4748,1969-03-20,Douglas DC-3-216,United States of America,16,0,3.0,24.0,"Avion Airways, op.for private",1937-01-01,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,Douglas,1969,March,Thursday,11766
4749,1969-03-24,Antonov An-24,Kazakhstan,4,0,5.0,26.0,"Aeroflot, Kazakstan",1964-01-01,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,Antonov,1969,March,Monday,1909
4751,1969-03-28,Antonov An-2,Tajikistan,11,0,3.0,10.0,"Aeroflot, Tajikistan",1958-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Antonov,1969,March,Friday,4104
4752,1969-03-30,Antonov An-2R,Ukraine,4,0,4.0,0.0,"Aeroflot, Ukraine",1967-01-01,Damaged beyond repair,Unknown (UNK),Ferry/positioning,Antonov,1969,March,Sunday,819
4754,1969-04-02,Curtiss C-46F,Bahamas,2,0,2.0,0.0,Islands of the Bahamas Inc,1945-01-01,Damaged beyond repair,En route (ENR),Cargo,Curtiss,1969,April,Wednesday,8857
4755,1969-04-02,Antonov An-24V,Poland,53,0,5.0,48.0,LOT,1966-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Antonov,1969,April,Wednesday,1187
4756,1969-04-07,Vickers 757 Viscount,Canada,1,0,4.0,17.0,Air Canada,1957-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,Vickers,1969,April,Monday,4479
4757,1969-04-07,Antonov An-2,Russia,3,0,1.0,2.0,"Aeroflot, Northern",1959-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Antonov,1969,April,Monday,3749
4758,1969-04-10,Douglas C-47A (DC-3),Egypt,3,0,3.0,0.0,"Ethiopian Airlines, op.for UAA",1944-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1969,April,Thursday,9231
4759,1969-04-11,U-1A Otter (DHC-3),Venezuela,3,0,2.0,3.0,US Army,1960-01-01,Damaged beyond repair,Unknown (UNK),Military,U-1A,1969,April,Friday,3388
4760,1969-04-15,Lockheed EC-121M Super Constellatio,North Korea,31,0,31.0,0.0,US Navy,1954-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1969,April,Tuesday,5583
4761,1969-04-16,Curtiss C-46,Democratic Republic of the Congo,45,0,3.0,42.0,WIGMO,1943-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Curtiss,1969,April,Wednesday,9602
